transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
94308678,https://condo-sg.com/costa-del-sol-9117,costa del sol,condominium,16,bayshore,bedok,apr-17,1313,11 to 15,A,1545000
98423314,https://condo-sg.com/parc-life-4495,parc life,executive condominium,27,sembawang central,sembawang,jun-17,936,11 to 15,A,741000
65140997,https://condo-sg.com/margaret-ville-4424,margaret ville,apartment,3,margaret drive,queenstown,feb-19,969,21 to 25,A,1770272
46975341,https://condo-sg.com/the-poiz-residences-8351,the poiz residences,apartment,13,potong pasir,toa payoh,mar-17,1227,06 to 10,A,1652112
54656918,https://condo-sg.com/east-shine-4691,east shine,apartment,14,kembangan,bedok,mar-18,980,01 to 05,A,1118000
51091946,https://condo-sg.com/queens-peak-8728,queens peak,condominium,3,margaret drive,queenstown,feb-17,947,06 to 10,A,1361000
16458691,https://condo-sg.com/the-florence-residences-5700,the florence residences,apartment,19,kovan,hougang,mar-19,700,01 to 05,A,1024000
40408302,https://condo-sg.com/haig-162-5505,haig 162,apartment,15,katong,marine parade,apr-21,581,11 to 15,A,880000
49086978,https://condo-sg.com/stars-of-kovan-6225,stars of kovan,apartment,19,lorong ah soo,hougang,sep-17,743,11 to 15,A,1149820
42643547,https://condo-sg.com/the-plaza-2048,the plaza,apartment,7,nicoll,downtown core,dec-21,807,21 to 25,A,1020000
86691174,https://condo-sg.com/the-tapestry-7492,the tapestry,condominium,18,tampines west,tampines,may-19,1485,11 to 15,A,1793340
15463545,https://condo-sg.com/parc-esta-1653,parc esta,apartment,14,geylang east,geylang,oct-19,635,11 to 15,A,1083000
80572851,https://condo-sg.com/the-florence-residences-5582,the florence residences,apartment,19,kovan,hougang,dec-20,667,06 to 10,A,1092000
57745608,https://condo-sg.com/park-colonial-9645,park colonial,condominium,13,woodleigh,toa payoh,jul-18,624,01 to 05,A,1098000
63707421,https://condo-sg.com/treasure-at-tampines-7747,treasure at tampines,condominium,18,tampines east,tampines,dec-19,463,06 to 10,A,682000
97263511,https://condo-sg.com/one-leicester-3346,one leicester,condominium,13,potong pasir,toa payoh,feb-18,1066,06 to 10,A,1290000
21719317,https://condo-sg.com/parc-greenwich-4182,parc greenwich,executive condominium,28,fernvale,sengkang,sep-21,1001,11 to 15,A,1249000
45014049,https://condo-sg.com/thomson-impressions-7773,thomson impressions,apartment,20,upper thomson,bishan,jan-17,1195,01 to 05,A,1563600
60861824,https://condo-sg.com/the-florence-residences-2818,the florence residences,apartment,19,kovan,hougang,may-21,926,16 to 20,A,1510000
68098319,https://condo-sg.com/kallang-riverside-8336,kallang riverside,apartment,12,kampong bugis,kallang,may-21,1432,16 to 20,A,3250000
26586902,https://condo-sg.com/blue-horizon-9843,blue horizon,condominium,5,clementi west,clementi,may-18,904,01 to 05,A,942000
53445065,https://condo-sg.com/lush-acres-7834,lush acres,executive condominium,28,fernvale,sengkang,jul-21,915,16 to 20,A,968000
