transaction_id,url,name,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
93312362.0,https://condo-sg.com/the-tre-ver-4758,the tre ver,condominium,13,potong pasir,toa payoh,apr-19,1098,01 to 05,A,1680000
60668385.0,https://condo-sg.com/d'leedon-6505,d'leedon,condominium,10,farrer court,bukit timah,oct-17,5081,31 to 35,A,6670000
13053824.0,https://condo-sg.com/the-topiary-5262,the topiary,executive condominium,28,fernvale,sengkang,sep-21,1367,01 to 05,A,1430000
40765763.0,https://condo-sg.com/waterfall-gardens-3363,waterfall gardens,condominium,10,tyersall,tanglin,jul-21,2196,01 to 05,A,4100000
24726454.0,https://condo-sg.com/leedon-green-8301,leedon green,condominium,10,farrer court,bukit timah,oct-21,1,01 to 05,A,1788000
89210005.0,https://condo-sg.com/alex-residences-2677,alex_residences,apartment,3,redhill,bukit merah,apr-17,1044,01 to 05,A,1400000
99888401.0,https://condo-sg.com/rivercove-residences-3219,rivercove residences,executive condominium,19,anchorvale,sengkang,may-18,958,11 to 15,A,944200
68813952.0,https://condo-sg.com/optima-@-tanah-merah-6510,optima @ tanah merah,condominium,16,bedok north,bedok,apr-18,484,06 to 10,A,690000
21854503.0,https://condo-sg.com/the-verandah-residences-6630,the verandah residences,apartment,5,pasir panjang 1,queenstown,apr-18,463,01 to 05,A,883000
17478397.0,https://condo-sg.com/signature-at-yishun-3430,signature at yishun,executive condominium,27,lower seletar,yishun,apr-18,1098,01 to 05,A,895500
65711448.0,https://condo-sg.com/the-clement-canopy-7070,the clement canopy,apartment,5,clementi woods,clementi,mar-18,990,11 to 15,A,1426000
23880373.0,https://condo-sg.com/high-park-residences-6726,high park residences,apartment,28,fernvale,sengkang,oct-21,388,11 to 15,A,530000
93580139.0,https://condo-sg.com/pasir-ris-8-1718,pasir ris 8,apartment,18,pasir ris central,pasir ris,jul-21,829,06 to 10,A,1334000
79421249.0,https://condo-sg.com/artra-9181,artra,apartment,3,redhill,bukit merah,dec-18,1410,16 to 20,A,2324200
41897036.0,https://condo-sg.com/alexis-8652,alexis,apartment,3,mei chin,queenstown,apr-21,807,01 to 05,A,1060000
17026812.0,https://condo-sg.com/centro-residences-6424,centro residences,condominium,20,ang mo kio town centre,ang mo kio,mar-17,926,26 to 30,A,1300000
44635865.0,https://condo-sg.com/midwood-5303,midwood,condominium,23,hillview,bukit batok,feb-23,484,11 to 15,A,816000
