transaction_id,url,name,street,type,postal_district,subzone,planning_area,date_of_sale,area_sqft,floor_level,eco_category,price
31318519,,midtown modern,tan quee lan street,apartment,7,bugis,downtown core,mar-21,409,01 to 05,A,1291950
13176613,http://condo-sg.com/sims-urban-oasis-3645,sims urban oasis,sims drive,condominium,14,aljunied,geylang,feb-18,1033,01 to 05,A,1585100
50688489,http://condo-sg.com/regency-park-4865,regency park,nathan road,condominium,10,chatsworth,tanglin,jul-19,2250,01 to 05,A,4425000
96578772,http://condo-sg.com/parc-botannia-6707,parc botannia,fernvale street,condominium,28,fernvale,sengkang,nov-17,431,11 to 15,A,575000
99494948,http://condo-sg.com/the-raintree-5774,the raintree,bukit drive,condominium,21,nature reserve,bukit panjang,nov-17,1270,01 to 05,A,
63008915,http://condo-sg.com/meyer-mansion-4269,meyer mansion,meyer road,apartment,15,mountbatten,,sep-19,484,16 to 20,A,1457600
96253255,http://condo-sg.com/riverfront-residences-3682,riverfront residences,hougang avenue 7,apartment,19,kangkar,hougang,oct-18,463,06 to 10,A,615000
89429328,http://condo-sg.com/whistler-grand-9797,whistler grand,west coast vale,apartment,5,west coast,clementi,apr-19,1066,21 to 25,A,1451520
59702222,http://condo-sg.com/parc-riviera-9139,parc riviera,west coast vale,condominium,5,west coast,clementi,jan-17,646,06 to 10,A,
92648473,http://condo-sg.com/canninghill-piers-2316,canninghill piers,clarke quay,apartment,6,clarke quay,singapore river,nov-21,463,11 to 15,A,1351000
97757364,http://condo-sg.com/altez-3291,altez,enggor street,apartment,2,tanjong pagar,downtown core,dec-21,4424,61 to 65,A,14825850
72163200,http://condo-sg.com/parc-riviera-7432,parc riviera,west coast vale,condominium,5,west coast,clementi,oct-17,710,26 to 30,A,928000
76728976,http://condo-sg.com/amber-park-9359,amber park,amber gardens,condominium,15,marine parade,marine parade,dec-20,484,01 to 05,A,1188800
68999706,http://condo-sg.com/the-tapestry-2563,the tapestry,tampines street 86,condominium,18,tampines west,tampines,mar-18,700,01 to 05,A,977600
26508564,http://condo-sg.com/the-florence-residences-7664,the florence residences,hougang avenue 2,apartment,19,kovan,hougang,oct-21,1679,06 to 10,A,2487000
73874906,http://condo-sg.com/the-shore-residences-1963,the shore residences,amber road,condominium,15,marine parade,,nov-17,893,16 to 20,A,1350000
85302903,,new futura,leonie hill road,condominium,9,leonie hill,river valley,aug-18,2250,16 to 20,A,8000000
84165107,http://condo-sg.com/normanton-park-2281,normanton park,normanton park,apartment,5,kent ridge,queenstown,feb-21,732,11 to 15,A,1324920
34110583,http://condo-sg.com/parc-centros-9931,parc centros,punggol central,condominium,19,matilda,punggol,jul-21,1378,11 to 15,A,1638000
64852535,http://condo-sg.com/the-minton-5008,the minton,hougang street 11,condominium,19,lorong ah soo,hougang,jan-18,1216,01 to 05,A,1200000
56460160,http://condo-sg.com/high-park-residences-9209,high park residences,fernvale road,apartment,28,fernvale,sengkang,jan-20,667,06 to 10,A,805000
35251860,http://condo-sg.com/normanton-park-6390,normanton park,normanton park,apartment,5,kent ridge,queenstown,apr-21,1087,01 to 05,A,1891837
83364647,http://condo-sg.com/jupiter-18-6754,jupiter 18,lorong 102 changi,apartment,15,geylang east,geylang,mar-17,420,01 to 05,A,560000
99222414,http://condo-sg.com/wing-on-life-garden-3372,wing on life garden,bukit timah road,apartment,10,nassim,tanglin,mar-17,3498,16 to 20,A,5200000
62133161,http://condo-sg.com/a-treasure-trove-3668,a treasure trove,punggol walk,condominium,19,matilda,punggol,apr-17,915,11 to 15,A,965000
33308665,http://condo-sg.com/clavon-6101,clavon,clementi avenue 1,apartment,5,clementi woods,clementi,dec-20,1281,01 to 05,A,1962000
80422762,,jadescape,shunfu road,condominium,20,upper thomson,bishan,sep-18,646,01 to 05,A,1070000
23503732,http://condo-sg.com/midtown-bay-9345,midtown bay,beach road,apartment,7,city hall,downtown core,oct-19,452,06 to 10,A,1322400
94913181,http://condo-sg.com/the-plaza-3018,the plaza,beach road,apartment,7,nicoll,downtown core,sep-21,678,21 to 25,A,788000
46434353,http://condo-sg.com/le-quest-2280,le quest,bukit batok street 41,apartment,23,brickworks,bukit batok,may-18,818,01 to 05,A,1149000
41295853,http://condo-sg.com/tanglin-park-6548,tanglin park,ridley park,condominium,10,ridout,tanglin,feb-21,1033,01 to 05,A,1900000
70304874,http://condo-sg.com/penrose-2005,penrose,sims drive,apartment,14,aljunied,geylang,sep-20,958,06 to 10,A,
69253239,,parc botannia,fernvale street,condominium,28,fernvale,sengkang,jun-18,1249,01 to 05,A,1524000
31738135,http://condo-sg.com/avenue-south-residence-4306,avenue south residence,silat avenue,apartment,3,kampong tiong bahru,bukit merah,oct-21,527,46 to 50,A,1253000
93794979,http://condo-sg.com/jadescape-4631,jadescape,shunfu road,condominium,20,upper thomson,bishan,sep-18,646,06 to 10,A,1075000
35128096,http://condo-sg.com/waterbank-at-dakota-8701,waterbank at dakota,dakota crescent,condominium,14,aljunied,geylang,apr-21,624,06 to 10,A,1070000
45426190,http://condo-sg.com/penrose-5151,penrose,sims drive,apartment,14,aljunied,geylang,sep-20,474,11 to 15,A,823000
40043541,http://condo-sg.com/the-skywoods-1937,the skywoods,dairy farm heights,condominium,23,dairy farm,bukit panjang,feb-21,1475,11 to 15,A,1740000
27977598,http://condo-sg.com/melville-park-2811,melville park,simei street 1,condominium,18,simei,tampines,sep-17,936,01 to 05,A,645000
88643632,http://condo-sg.com/la-casa-8489,la casa,woodlands drive 16,executive condominium,25,woodlands south,woodlands,nov-17,1173,06 to 10,A,850000
58786181,http://condo-sg.com/carabelle-2220,carabelle,west coast way,condominium,5,west coast,clementi,feb-21,1292,01 to 05,A,
97645967,http://condo-sg.com/commonwealth-towers-8773,commonwealth towers,commonwealth avenue,condominium,3,margaret drive,queenstown,jan-17,904,21 to 25,A,1435300
40177411,http://condo-sg.com/yishun-emerald-8106,yishun emerald,canberra drive,condominium,27,yishun west,yishun,jan-20,1324,11 to 15,A,1023088
38938279,http://condo-sg.com/arc-at-tampines-1656,arc at tampines,tampines avenue 8,executive condominium,18,tampines west,tampines,aug-19,1421,11 to 15,A,1248000
10582979,http://condo-sg.com/la-fleur-8939,la fleur,lorong 26 geylang,apartment,14,aljunied,geylang,jun-18,420,01 to 05,A,550000
